Azure Architecture Cost Breakdown
Total Monthly Cost,$324.90
Region,eastus2
Date,2026-01-11

Service Name,Service Type,Tier,Quantity,Monthly Cost,Pricing Type
"PostgreSQL",Other,Backup LRS,1,$109.86,Usage-based (estimate)
"Api Management",Other,Standard,1,$100.00,Fixed
"App Service",Other,S1,1,$69.35,Fixed
"Key Vault",Other,Standard,1,$21.90,Fixed
"Blob Storage",Other,Hot LRS,1,$14.60,Usage-based (estimate)
"Static Web Apps",Other,Standard,1,$9.00,Usage-based (estimate)
"Application Insights",Other,Basic,1,$0.10,Fixed
"CDN",Other,Standard,1,$0.09,Usage-based (estimate)

Group Name,Service Count,Monthly Cost
"Ungrouped",8,$324.90

Category,Monthly Cost,Percentage
Other,$324.90,100.0%
