model,deployment,cost,inputCost,outputCost,cachedCost,otherCost,calls,users,promptTokens,completionTokens,totalTokens,costPerCall,costPerUser,costPer1M
GPT-5.2,gpt-5.2,52.243323649999994,22.82643125,29.353814,0.0630784,0.0,318,112,771446,1552097,2323543,0.16428718128930817,0.4664582468749999,22.484336915649934
GPT-5.1,gpt-5.1,38.563925749999996,21.82569375,16.581,0.157232,0.0,172,12,818739,654984,1473723,0.22420887063953485,3.2136604791666663,26.16768941653214
GPT-5.4,gpt-5.4,25.7838645,9.8830025,15.70611,0.194752,0.0,137,27,274795,691647,966442,0.1882033905109489,0.9549579444444445,26.679163881536606
GPT-5.3 Codex,gpt-5.3-codex,2.4674632499999998,0.23768325,2.228436,0.001344,0.0,39,12,138151,129056,267207,0.06326828846153845,0.2056219375,9.234276235278267
GPT-5.2 Codex,gpt-5.2-codex,1.000391,0.054229,0.944594,0.001568,0.0,30,9,39948,67471,107419,0.03334636666666667,0.11115455555555556,9.31298001284689
GPT-5.4 Mini,gpt-5.4-mini,0.800937,0.034584,0.765873,0.00048,0.0,32,9,45347,135795,181142,0.02502928125,0.088993,4.421597420807985
Kimi K2.5,Kimi-K2.5,0.2656458,0.0205938,0.245052,0.0,0.0,17,3,25603,81684,107287,0.015626223529411763,0.08854859999999999,2.4760297146905033
DeepSeek V4 Pro,DeepSeek-V4-Pro,0.19225956,0.07221696,0.1200426,0.0,0.0,21,2,31398,34495,65893,0.009155217142857143,0.09612978,2.9177539344088146
DeepSeek V3.2 Speciale,DeepSeek-V3.2-Speciale,0.13691882,0.02336762,0.1135512,0.0,0.0,26,9,37048,63341,100389,0.005266108461538461,0.015213202222222222,1.3638826963113488
Grok 4.3,grok-4.3,0.074005,0.03181,0.042195,0.0,0.0,15,3,23747,15949,81460,0.004933666666666667,0.024668333333333334,0.9084826908912349
Mistral Large 3,Mistral-Large-3,0.039526,0.0093955,0.0301305,0.0,0.0,13,3,18791,20087,38878,0.0030404615384615383,0.013175333333333332,1.0166675240495908
Grok 4.1 Fast,grok-4-1-fast-non-reasoning,0.037547899999999995,0.0133934,0.0241545,0.0,0.0,32,10,65853,47273,113126,0.0011733718749999998,0.0037547899999999996,0.3319122040910135
