Azure Architecture Cost Breakdown
Total Monthly Cost,$302.27
Region,eastus2
Date,2026-02-01

Service Name,Service Type,Tier,Quantity,Monthly Cost,Pricing Type
"Api Management",Other,Standard,1,$100.00,Fixed
"App Service",Other,S1,1,$69.35,Fixed
"Azure Machine Learning",Other,Standard,1,$50.00,Usage-based (estimate)
"Event Hubs",Other,Standard,1,$27.60,Usage-based (estimate)
"Key Vault",Other,Standard,1,$21.90,Fixed
"Container Registry",Other,Standard,1,$20.00,Usage-based (estimate)
"Microsoft Entra ID",Other,Standard,1,$6.00,Fixed
"Data Factory",Other,Cloud,1,$5.00,Usage-based (estimate)
"Log Analytics",Other,Voice Calls,1,$2.30,Usage-based (estimate)
"Application Insights",Other,Basic,1,$0.10,Fixed
"Azure Cosmos DB",Other,Standard,1,$0.02,Usage-based (estimate)
"Data Lake Storage",Other,Standard,1,$0.00,Usage-based (estimate)

Group Name,Service Count,Monthly Cost
"Ungrouped",12,$302.27

Category,Monthly Cost,Percentage
Other,$302.27,100.0%
